scenario,mode,n,avg_wait_time_mean,avg_wait_time_std,avg_wait_time_ci95_lo,avg_wait_time_ci95_hi,flow_rate_mean,flow_rate_std,flow_rate_ci95_lo,flow_rate_ci95_hi,co2_emissions_mean,co2_emissions_std,co2_emissions_ci95_lo,co2_emissions_ci95_hi,emergency_response_time_mean,emergency_response_time_std,emergency_response_time_ci95_lo,emergency_response_time_ci95_hi
accident,ai,5,20.560000000000002,2.4795160818191917,18.386608327981357,22.733391672018648,19.5,2.1505813167606567,17.614932361956207,21.385067638043793,135.602,26.391951803532834,112.46843426969374,158.73556573030626,3.4200000000000004,0.6260990336999409,2.8712000000000004,3.9688000000000003
accident,traditional,5,39.940000000000005,5.006296035993077,35.55178804522845,44.32821195477156,8.7,1.1510864433221337,7.691028246183273,9.708971753816725,111.97200000000001,25.989133690833178,89.19151991325907,134.75248008674095,40.980000000000004,26.249704760244448,17.971119300583094,63.98888069941691
emergency,ai,5,16.240000000000002,4.636593577185733,12.175846538330525,20.30415346166948,23.7,1.3038404810405297,22.55713342861032,24.842866571389678,137.132,36.68007865313269,104.9804934789301,169.2835065210699,1.86,0.08944271909999155,1.7816,1.9384000000000001
emergency,traditional,5,32.459999999999994,1.9907285098676808,30.715049525058085,34.2049504749419,16.8,1.7175564037317668,15.294495433417755,18.305504566582247,188.49200000000002,31.56655461085356,160.82269492527143,216.1613050747286,32.58,2.4903814968795444,30.397084371763306,34.76291562823669
normal,ai,5,19.240000000000002,2.398541223327212,17.137585920899504,21.3424140791005,19.2,0.27386127875258304,18.959950005207247,19.44004999479275,129.176,24.20117517807761,107.96273464924364,150.38926535075635,1.9200000000000004,0.35637059362410917,1.6076274019700196,2.2323725980299813
normal,traditional,5,29.52,4.460044842823893,25.610598327109376,33.42940167289062,13.7,1.151086443322134,12.691028246183274,14.708971753816725,143.75,37.85697359800437,110.5668995760794,176.93310042392062,24.96,20.405219920402722,7.074036135561496,42.8459638644385
rush_hour,ai,5,25.72,1.2397580409095965,24.633304163990676,26.80669583600932,49.9,0.4183300132670378,49.53331757609615,50.266682423903845,476.892,56.75236884923836,427.1463553846329,526.6376446153671,1.7399999999999998,0.2073644135332772,1.5582370774882839,1.9217629225117157
rush_hour,traditional,5,39.52,3.2042159727459083,36.71138086597702,42.328619134022986,28.9,1.981161275615895,27.1634355756264,30.636564424373596,415.13,28.79865708674625,389.8868640765851,440.3731359234149,40.06,27.94151033856259,15.56818632767267,64.55181367232734
